L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,say,good,want,go,home,girl,your,shit,even,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,look,last,like,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
True,0.27,0.27,0.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.27,0.27,0.35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.08966085124189356,-0.6704838030984068,-0.046770625686203215,0.1491611489994451,-0.016118770763054242,-0.013380093680995287,0.052273304849804844,-0.02010421717756313,0.05466140262430873,0.01312481987731717,0.005091060424537188,0.008837783197747584,0.007393589939389096,0.036281616534682634,0.020953006467170892,-0.00565068193857319
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.001955091612477046,0.011154808284617953,-0.03577009790208487,0.06007386335547775,0.0556517702488061,0.18916583516239657,0.17818520263773616,-0.21909642673329577,-0.06375907329392863,0.05444616912111849,0.00196781016474987,-0.02086706475605848,-0.04616195968160275,0.10338976620532447,-0.24989560564403254,0.15760695608130107
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.29,0.29,0.35,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7031223092950502,0.1087666384650498,-0.0808213709209909,0.0053808245655930995,0.037714451009883194,-0.0020590935119409425,0.1724794265444129,-0.01225956536501009,0.03996608954214804,-0.05277792523450621,0.1616272130372768,0.023409537051909988,0.1272211882295245,0.12849572375870294,-0.38057027848177893,-0.010057711415249767
True,0.42,0.42,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.17,0.17,0.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,-0.0027166069777930252,0.010404430706683256,-0.0471737683469827,0.045020086631693094,0.06845598948070555,0.06897377787814461,0.09821147454706351,-0.3491520064169291,0.2166910235663623,0.1292771875511676,0.08357803376621348,0.15012530461906162,0.18883605711399012,0.14669980226255597,-0.1272511026228616,-0.12974263678524808
True,0.12,0.12,0.35,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.09549432054940182,-0.6331015849358851,-0.18746885904000507,0.2325272701066079,0.10689541569642308,0.8915345481322362,0.30263853225854886,-0.04055643777922671,0.36664073944993947,-0.05469626658203183,-0.0037856381665427046,0.1871255085974987,0.033503016995925936,0.3029799950853601,-0.3856516529491437,0.3389886458393627
