@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute and {True, False}
@attribute a {True, False}
@attribute get {True, False}
@attribute i {True, False}
@attribute my {True, False}
@attribute drunk {True, False}
@attribute to {True, False}
@attribute the {True, False}
@attribute was {True, False}
@attribute you {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute 1 real
@attribute 2 real
@attribute L {True, False}
@data
0.33,0.35,0.33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-28582.972240908875,69393.42179915436,False
0.33,0.5,0.33,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-29501.643986926832,69160.95062020504,False
0.33,0.45,0.33,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.42,0.33,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.36,0.25,0.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-28582.972240908875,69393.42179915436,False
0.33,0.5,0.33,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,False
0.0,0.51,0.0,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,0.0,0.0,False
0.1,0.51,0.1,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,0.0,0.0,False
-0.15,0.5,0.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.1,0.5,0.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.12,0.33,0.12,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,-19097.058639128914,74056.05915078774,False
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,0.0,0.0,False
0.29,0.45,0.291666667,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.57,0.38,0.57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.67,0.33,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.6,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.15,0.65,0.145833333,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.33,0.5,0.33,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.0,0.0,False
0.33,0.4,0.33,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,-29501.643986926832,69160.95062020504,False
0.08,0.37,0.08,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.75,1.0,0.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.06,0.63,0.06,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,False
0.1,0.5,0.1,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,False
0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.07,0.65,0.07,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.17,0.54,0.17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-29501.643986926832,69160.95062020504,False
0.29,0.75,0.29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.13,0.36,0.13,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,False
0.57,0.7,0.57,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-29501.643986926832,69160.95062020504,False
-0.17,0.5,0.17,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,False
0.61,0.77,0.61,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,False
0.13,0.24,0.13,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.07,0.25,0.07,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.19,0.25,0.19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.09,0.75,0.09,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,0.0,0.0,False
0.67,0.75,0.666666667,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.17,0.25,0.17,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.13,0.75,0.13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.1,0.5,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.07,0.23,0.07,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,False
0.2,0.5,0.2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,0.0,0.0,False
0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,0.0,False
0.15,0.55,0.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,0.0,0.0,False
0.38,0.5,0.38,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.13,0.5,0.13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
