L,absPolarity,sentiment_polarity,sentiment_subjectivity,me,dont,i,it,but,im,know,so,now,my,out,1,2,3,4,5,6,7,8,9,10,11
True,0.17,-0.17,0.8,False,True,True,True,True,False,False,False,True,False,False,0.2926733089766224,-0.2509583381676016,-0.08602350833671366,0.02237698546469235,-0.09311042576085465,-0.18509273488565686,0.181500747911861,-0.1299051313152205,0.04152290047150521,-0.008549995812362961,-0.04877264712440525
True,0.25,0.25,0.56,True,False,True,False,False,False,False,False,False,False,True,0.0623398072198031,0.039194484386342,-0.04312752720424119,-0.2048915679207343,0.1260952239211769,-0.08123893755659858,-0.04263816089805256,0.015170138517322088,0.059516772759567675,-0.020528584625427747,-0.016936096966544446
True,0.09,-0.09,0.65,False,False,True,False,False,True,False,True,False,False,False,-0.16805527930505054,0.02067523671706692,-0.1551672361170064,-0.2269256657777879,-0.08663562092583388,-0.14208774523397183,-0.18120944075755874,-0.0754830614203149,-0.1589762450229536,-0.03429660210144729,-0.12135713498373964
True,0.13,0.13,0.32,False,False,True,False,False,False,False,False,False,False,False,0.013327422281901622,-0.0030612641275403986,-0.03640649635017577,-0.015744097703808475,0.009742724226968985,-0.02693532463560448,0.0025701565987623996,-0.006226602658858958,0.005729284085524005,0.000337546082279059,-0.002670632575057952
True,0.23,-0.23,0.75,False,False,True,False,False,False,False,True,False,False,False,-0.13532566789799366,-0.08329631554935196,-0.13311108092233498,-0.27042248783323114,-0.07747163686655985,-0.13655273449605543,-0.23336525168420805,-0.03414631056125296,-0.15302827382423523,-0.03028130368686738,-0.11668046808922415
True,0.12,-0.12,0.46,False,False,True,False,False,False,False,True,False,False,False,-0.13532566789799366,-0.08329631554935196,-0.13311108092233498,-0.27042248783323114,-0.07747163686655985,-0.13655273449605543,-0.23336525168420805,-0.03414631056125296,-0.15302827382423523,-0.03028130368686738,-0.11668046808922415
True,0.18,0.18,0.6,True,False,False,False,False,True,False,False,False,True,False,0.07320853004349846,0.18159399506599477,-0.013251691476905724,-0.1214615603362334,0.10932132889246793,-0.03590292239863697,0.03522427663958223,-0.003376513893746603,0.032556776110623284,-0.021880900965782477,-0.017949489525803414
True,0.12,0.12,0.54,False,True,True,False,False,False,False,False,False,False,False,0.0673516841394746,-0.09363544024705699,-0.012502385530894528,-0.06706954701036566,-0.016294259282491542,-0.05332979219051269,0.1456342455654415,-0.061383907915220165,0.023735648198301658,0.02326081418389269,-0.024893056727764762
True,0.33,0.33,0.5,False,False,True,False,False,False,False,False,False,False,False,0.013327422281901622,-0.0030612641275403986,-0.03640649635017577,-0.015744097703808475,0.009742724226968985,-0.02693532463560448,0.0025701565987623996,-0.006226602658858958,0.005729284085524005,0.000337546082279059,-0.002670632575057952
True,0.17,0.17,0.25,False,False,False,False,False,False,False,False,False,True,False,0.044377026335933836,-0.010356059540137968,0.011130369760891838,-0.020387319534815065,0.0093295015877898,0.035444422524835116,0.014626014784189515,0.0064267557681110385,-0.019811585825973164,0.0034616438072572206,-0.002070119669114107
True,0.27,0.27,0.35,False,False,True,True,False,False,False,False,True,False,False,0.22907383203311774,-0.09992519331447312,-0.08295051844684528,0.07976461238087192,0.0009865584688264067,-0.05206521837834989,0.00558599542375364,-0.06977809790789698,-0.03963107051876296,-0.015471036799417361,-0.02026311015853116
True,1.0,1.0,0.5,False,False,False,False,False,True,False,False,False,False,False,-0.03272961140705689,0.10397155226641888,-0.02205615519467142,0.04349682205544326,-0.00916398405927403,-0.005535010737916381,0.0521558109266493,-0.04133675085906194,-0.005947971198718369,-0.004015298414579907,-0.0046766668945154855
True,0.06,0.06,0.63,False,False,False,True,False,True,False,False,False,False,False,0.1308448881707942,-0.004023610807539477,-0.10076938867643748,0.08335293372080838,-0.06881458401260986,-0.0328496595085408,0.013125331361323177,-0.055985597086904426,-0.04939985915496958,-0.03174954931513272,-0.014084093976730688
True,0.42,0.42,0.5,False,False,False,False,False,False,False,False,False,True,False,0.044377026335933836,-0.010356059540137968,0.011130369760891838,-0.020387319534815065,0.0093295015877898,0.035444422524835116,0.014626014784189515,0.0064267557681110385,-0.019811585825973164,0.0034616438072572206,-0.002070119669114107
True,0.29,0.29,0.75,False,False,False,False,False,False,False,True,False,False,False,-0.14865309017989528,-0.08023505142181156,-0.09670458457215922,-0.25467839012942267,-0.08721436109352883,-0.10961740986045096,-0.23593540828297044,-0.027919707902394,-0.15875755790975923,-0.03061884976914644,-0.1140098355141662
True,0.2,0.2,0.5,False,False,True,True,False,False,False,False,False,False,False,0.1769019218597527,-0.11105642720149876,-0.11511972983194182,0.02411201396155665,-0.04990787572636684,-0.054249973406228905,-0.03646032296656373,-0.020875448886701446,-0.037722603870727206,-0.027396704818273755,-0.012078059657273155
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,True,False,0.044377026335933836,-0.010356059540137968,0.011130369760891838,-0.020387319534815065,0.0093295015877898,0.035444422524835116,0.014626014784189515,0.0064267557681110385,-0.019811585825973164,0.0034616438072572206,-0.002070119669114107
