L,absPolarity,sentiment_polarity,sentiment_subjectivity,1,2
True,0.566666667,0.57,0.6,-31259.319776468823,-96359.84624522866
True,0.29583333300000003,0.3,0.63,-292081.61716988636,59672.493807567895
True,0.166666667,0.17,0.5,-316087.1013670878,93355.23426684119
True,0.333333333,0.33,0.5,0.0,0.0
True,0.41666666700000005,0.42,0.5,-105244.76791508328,-62571.22495902189
True,0.38229166700000006,0.38,0.63,-167173.55274746113,94531.26105804942
True,0.333333333,0.33,0.5,-15185.080558849966,-48812.87343814122
True,0.333333333,0.33,0.5,-132146.89009788467,-24820.90714272134
True,0.333333333,0.33,0.5,-15185.080558849966,-48812.87343814122
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-26090.53269789432,-103633.04800183469
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-13107.311514223115,-51730.536899951585
True,0.166666667,0.17,0.75,-104644.36874682357,6705.063465386498
True,0.027777778,0.03,0.83,-15526.16177460397,-48317.60604386832
True,0.333333333,0.33,0.5,0.0,0.0
True,0.34166666700000003,0.34,0.57,-142896.84735161,-149950.90631300223
True,1.0,1.0,0.3,-24631.92206551873,-35547.963532555965
True,0.333333333,0.33,0.5,-11182.156504928837,-54448.539700385176
True,0.041666667000000004,-0.04,0.53,-195645.53279889183,-5694.905088690131
True,0.0,0.0,0.0,-193594.95042079076,61534.21229500578
True,0.333333333,0.33,0.5,-95077.81336569451,-6698.646621331893
True,0.055555556,-0.06,0.5,-104644.36874682357,6705.063465386498
True,0.083333333,-0.08,0.75,0.0,0.0
True,0.333333333,0.33,0.5,-18795.617489870987,-113881.61974593968
True,0.12916666699999999,0.13,0.57,-15526.16177460397,-48317.60604386832
True,0.083333333,-0.08,0.6,-225954.81633540947,36830.345947684655
True,0.333333333,0.33,0.5,-178355.70925238996,40082.72135766424
True,0.11666666699999999,0.12,0.4,-106856.44436232101,-60346.03071538977
True,0.333333333,0.33,0.5,-66915.46915181998,23888.826467384813
True,0.322222222,-0.32,0.72,-27986.882374531033,-30815.92609961601
True,0.054166667,-0.05,0.84,-441182.75770941377,198749.2310528288
True,0.333333333,0.33,0.5,0.0,0.0
True,0.333333333,0.33,0.5,-18795.617489870987,-113881.61974593968
True,0.06,0.06,0.59,-926556.2087895435,740524.3592819744
True,0.01875,-0.02,0.68,-994740.8652982559,766100.8590156236
True,0.25,-0.25,0.53,-619448.6968927826,589807.3313018115
True,0.5,-0.5,1.0,-652767.4616961674,776887.8357438277
True,0.5,-0.5,1.0,-574544.4906226734,737185.7235153976
True,0.05,-0.05,0.85,-880961.2135116484,606470.2862062791
True,0.25,-0.25,1.0,-594202.022601945,694655.8818438248
True,0.78125,-0.78,1.0,-574544.4906226734,737185.7235153976
True,0.5,-0.5,1.0,-757397.9808412719,713506.56190046
True,0.5,-0.5,1.0,-585200.9750419462,682005.7939563176
True,0.107142857,-0.11,0.77,-752433.8676205736,776615.6245438836
True,0.15,0.15,0.85,-578003.0388732852,671900.0537540029
True,0.108333333,-0.11,0.55,-837416.4340388987,825766.3675997157
True,0.033333333,-0.03,0.53,-622799.3480701208,664691.5411585157
True,0.5,-0.5,1.0,-675637.070367285,809079.2627643417
