sentiment_polarity,sentiment_subjectivity,absPolarity,L,so,we,last,for,drunk,i,when,am,fuck,up,this,as,im,at,my,night,got,still,was,think,out,getdrunk,imdrunk,stilldrunk,gotdrunk,yourdrunk,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.18,0.68,0.18095238100000002,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,2.1547412004123045,1.2543756847538416,-0.15836250646275013,0.47206334741983313,0.2707979995448562,-0.36914721288495406,0.027842261612611916,1.1301839723388833,-0.6856349970396521,0.32845203020187946,0.07110968590251705,-0.14171520752231076,0.703655242185127,-0.3298242759610516,0.5007453631425356
-0.08,0.78,0.083333333,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.9323366358882534,1.1912043139138868,-0.036827119093997746,-0.23530340327466578,0.016719482788021194,-0.5280905292191572,0.395351157535321,0.01591292249554613,-0.32598318901779744,0.1288113129243586,-0.3457358813040532,0.4172355072082528,0.6886946334791979,0.0060599449282600195,0.23460609434538238
0.26,0.82,0.2625,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.9459607594190913,1.1716555644726172,0.02781199745479801,-0.33391102703851955,0.061751226785530834,-0.6400170332883157,0.37636560088965876,0.09757392189447338,0.4634638766055381,0.3771271002014821,-0.06105677657000359,-0.017161399943063867,0.0027568586622767934,0.44371524160757725,-0.06875284865926731
-0.2,0.6,0.2,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.8925331529520633,1.213833503733535,0.03313378638350877,-0.11447805316882008,0.007879995536695031,-0.5108365176744273,0.003321266378362614,0.101477058767746,0.14535141063370685,-0.3011003700483569,-0.06608729583120501,0.7295921250576884,-0.2361200448583152,-0.375910499494319,-0.05594501121044798
-0.25,0.83,0.25,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.9645146239183344,1.0887554688897605,-0.05672775959939282,-0.18392331095190093,-0.033509028324449616,-0.5642177210668443,0.05572956567573904,0.00015930573486160082,-0.12329205306923217,-0.07514167582504727,-0.43139033060189835,0.11891597908025875,0.022238968479105815,0.09720965949009228,-0.17876325438496254
0.17,0.6,0.166666667,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.8032777555222241,1.235461497557963,0.034651576031795826,-0.16213123417527528,0.07154316044142917,-0.4742880795607063,0.19281909144019274,0.0782771954269609,-0.19642562621195123,-0.19552933567171904,-0.30812013105519376,0.3485135806686945,0.08230726944291415,0.3890746632937464,-0.584793476982623
0.07,0.64,0.065,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,1.9451834357480369,1.2795843349993088,0.11946781866510979,-0.208003445269283,-0.4059350798490317,-0.46069655171421026,0.03362376202800205,0.11913280628185961,-0.8129074323340543,0.894759292494701,0.7031336526185149,0.027628728909108082,-0.09908351045451655,-0.18262743553323746,-0.7334837754408874
-0.5,1.0,0.5,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.143762678580992,0.9738296758873133,-0.14424858355600476,-0.21634037632537892,-0.08232995274316454,-0.6229272569186519,0.024087962929164514,-0.07843689901851897,-0.11914442447124465,-0.10884186899538786,-0.5542637055211622,0.01519734340275003,-0.07574731602115474,-0.05241232298996523,-0.08589284004466088
-0.23,0.41,0.225,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.786445923911895,1.3369816979244173,0.04023967442283586,-0.08131668654689954,-0.1714278555920483,-0.42294270822153995,-0.15303943221547034,0.45964315249323684,-0.22868474978360212,-0.03840385314175025,-0.1871063555165542,-0.10689455855665823,0.09073427674554436,-0.024763923662313204,-0.06610856870788964
-0.12,0.5,0.12121212099999999,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.7992319139694983,1.2431457890360667,0.027927548804225846,-0.11771453348340677,0.09356258243023506,-0.5127707859867301,0.041609046555937085,0.01185655971935266,-0.2862437701482594,-0.15190959105952467,-0.1579676073773138,0.32855021612010893,-0.2968932753187619,0.7012480161455363,0.28475369215088
-0.25,0.5,0.25,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,1.927291622283131,1.1772784595661718,-0.09797002401260484,-0.3398611250271322,0.06752557165335522,-0.5634569381006658,0.4570479215101799,0.05152409739398493,-0.1838934686305999,0.498411963917356,-0.21159983451234066,0.4993440778029776,0.663227503375723,-0.25769757553709305,-0.06208378004840236
-0.33,0.7,0.328125,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,2.0795245307959687,1.2291108209661827,-0.04403532573140768,-0.14799897679756616,-0.02500450934396876,-0.010283347430966504,1.0245231741256942,-0.0819780502095798,-0.3306775995150256,-0.14902407074779803,-0.41553764173357527,0.08401116952564684,0.47482907392503554,-0.2843682254428147,0.2950571675908788
